File Name,ObjectID,GlobalId,type,Name,Description,ObjectType,Floor,Building,Material,Volume (m³),Surface Area (m²),Top Elevation (m),Bottom Elevation (m),Centroid X (m),Centroid Y (m),Centroid Z (m),Min X (m),Max X (m),Min Y (m),Max Y (m),Area,CrossSectionArea,Depth,ExtendToStructure,GrossArea,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IsExternal,Length,LoadBearing,NetArea,NetSideArea,NetVolume,OuterSurfaceArea,Perimeter,PitchAngle,Reference,Slope,Span,TypeDefinition_Basiswand,TypeDefinition_Geländer,TypeDefinition_Geschossdecke,TypeDefinition_NWA_FA_Aussenstütze,TypeDefinition_NWA_FA_Aussenstütze_Attika,TypeDefinition_NWA_FA_Aussenstütze_Attika_Ecke,TypeDefinition_NWA_FA_Aussenstütze_Ecke,TypeDefinition_NWA_FA_FE_Holz-Metall,TypeDefinition_NWA_FA_FE_Holz-Metall_Erweiterung,TypeDefinition_NWA_FA_FE_Holz-Metall_Erweiterung_Oeffenbar,TypeDefinition_NWA_FA_Paneel_Brise-solei-West,TypeDefinition_NWA_FA_Paneel_Brise-solei_tiefer,TypeDefinition_NWA_FA_Paneel_Brise-soleil,TypeDefinition_NWA_FA_Paneel_Brise-soleil-Stütze,TypeDefinition_NWA_FA_Paneel_Brüstung_EG,TypeDefinition_NWA_FA_Paneel_Brüstung_RG,TypeDefinition_NWA_FA_Panel_Einfach,TypeDefinition_NWA_FA_Panel_Fenster,TypeDefinition_NWA_FA_Panel_Schichten,TypeDefinition_NWA_FA_Panel_Schichten_EIngang,TypeDefinition_NWA_FA_Panel_Schichten_HRL,TypeDefinition_NWA_FA_WDM,TypeDefinition_NWA_Holz_Rechteckigestütze,TypeDefinition_NWA_Pfosten_Life-Line,TypeDefinition_NWA_TOR_Rollgitter LKW 1,TypeDefinition_NWA_TOR_Rollgittertor,TypeDefinition_NWA_TOR_Schnelllauftor,TypeDefinition_NWA_TOR_Sektionaltor,TypeDefinition_NWA_TOR_Sektionaltor_Typ 2,TypeDefinition_NWA_TRÄ_Massivholz,TypeDefinition_NW_TUR_DRF_BLZ_1FL,TypeDefinition_NW_TUR_DRF_BLZ_2FL,TypeDefinition_NW_TUR_DRF_GLB_1FL_Fassade,TypeDefinition_NW_TUR_SCH_GLB_2FL_Fassade,TypeDefinition_Rechteckiger Pfosten,Width
temp_input.ifc,73743,2FyTefRsv6JvcZCYam1$iD,IfcPlate,NWA_FA_Panel_Schichten:Holz 405 Passerrelle:2830097,N/A,NWA_FA_Panel_Schichten:Holz 405 Passerrelle,N/A,N/A,No material assigned,1.63,43.71,0.68,-0.78,84.12,-43.62,-0.05,83.89,84.30,-45.00,-42.24,,,,,,,,,,False,,,,,1.631987999999712,,,,Holz 405 Passerrelle,,,,,,,,,,,,,,,,,,,,,Holz 405 Passerrelle: Pset_PlateCommon,,,,,,,,,,,,,,,,,
temp_input.ifc,73787,01XtCSdv98p9GcTH2yJxHS,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3311244,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.00,0.28,0.75,0.68,83.94,-54.18,0.72,83.89,83.98,-54.36,-54.00,,,,,,,,,,False,,,,,0.00231840000001053,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,73810,01XtCSdv98p9GcTH2yJxHT,IfcPlate,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS:3311245,N/A,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS,N/A,N/A,No material assigned,0.01,0.77,0.75,0.68,83.92,-52.62,0.72,83.89,83.96,-54.00,-51.24,,,,,,,,,,False,,,,,0.01313760000006318,,,,Konsole 5_PS,,,,,,,,,,,,,,,,,Konsole 5_PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,,,,
temp_input.ifc,73854,01XtCSdv98p9GcTH2yJxHU,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3311246,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.00,0.19,0.75,0.68,83.94,-51.12,0.72,83.89,83.98,-51.24,-51.00,,,,,,,,,,False,,,,,0.0015456000000068925,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,73864,01XtCSdv98p9GcTH2yJxHV,IfcPlate,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS:3311247,N/A,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS,N/A,N/A,No material assigned,0.01,0.77,0.75,0.68,83.92,-49.62,0.72,83.89,83.96,-51.00,-48.24,,,,,,,,,,False,,,,,0.01313760000006318,,,,Konsole 5_PS,,,,,,,,,,,,,,,,,Konsole 5_PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,,,,
temp_input.ifc,73874,01XtCSdv98p9GcTH2yJxH0,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3311248,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.00,0.19,0.75,0.68,83.94,-48.12,0.72,83.89,83.98,-48.24,-48.00,,,,,,,,,,False,,,,,0.0015456000000068925,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,73884,01XtCSdv98p9GcTH2yJxH1,IfcPlate,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS:3311249,N/A,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS,N/A,N/A,No material assigned,0.01,0.77,0.75,0.68,83.92,-46.62,0.72,83.89,83.96,-48.00,-45.24,,,,,,,,,,False,,,,,0.01313760000006318,,,,Konsole 5_PS,,,,,,,,,,,,,,,,,Konsole 5_PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,,,,
temp_input.ifc,73894,01XtCSdv98p9GcTH2yJxH2,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3311250,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.00,0.19,0.75,0.68,83.94,-45.12,0.72,83.89,83.98,-45.24,-45.00,,,,,,,,,,False,,,,,0.0015456000000068925,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
temp_input.ifc,73904,01XtCSdv98p9GcTH2yJxH3,IfcPlate,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS:3311251,N/A,NWA_FA_Paneel_Brüstung_EG:Konsole 5_PS,N/A,N/A,No material assigned,0.01,0.77,0.75,0.68,83.92,-43.62,0.72,83.89,83.96,-45.00,-42.24,,,,,,,,,,False,,,,,0.01313760000006318,,,,Konsole 5_PS,,,,,,,,,,,,,,,,,Konsole 5_PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,,,,
temp_input.ifc,74015,01XtCSdv98p9GcTH2yJx4I,IfcPlate,NWA_FA_Panel_Fenster:86 PS:3310530,N/A,NWA_FA_Panel_Fenster:86 PS,N/A,N/A,No material assigned,0.05,5.15,3.18,0.75,83.94,-51.12,1.96,83.89,83.98,-51.24,-51.00,,,,,,,,,,False,,,,,0.053543999999982994,,,,86 PS,,,,,,,,,,,,,,,,,,,,86 PS: Pset_PlateCommon,,,,,,,,,,,,,,,,,,
